word,count
demonstrar,133
desdobramento,133
comandar,133
resultado,132
ideia,132
gabinete,132
paulista,132
transferência,132
completar,131
26,131
recebimento,131
celso,131
24,131
plenário,131
consultor,131
defeso,130
júnior,130
funcionar,130
outubro,130
queiroz,130
praticar,130
resposta,130
cardozo,130
direto,130
enfrentar,129
coordenador,129
mão,129
punição,129
mandado,129
representante,128
alexandre,128
andamento,128
segunda,128
faltar,127
cobrar,127
região,127
lugar,127
complexo,127
algo,127
anunciar,127
história,127
gleisi,127
impacto,127
aumentar,126
propor,126
prática,126
palácio,126
40,126
toffoli,126
unidos,125
corpus,125
reunir,125
referir,125
ribeiro,125
imagem,125
jamais,125
sim,125
dificuldade,124
eua,124
privado,124
cenário,124
recuperação,124
henrique,124
diversos,124
definir,124
cooperação,124
foto,124
homem,123
deltan,123
21,123
caber,122
trecho,122
dúvida,122
lembrar,121
centro,121
pai,121
diferente,120
artigo,120
nomeação,120
palavra,120
devido,120
episódio,119
conjunto,119
responsabilidade,119
recorrer,119
prático,119
comprovar,119
irmão,119
dirigente,119
forte,119
resultar,119
cgu,119
passivo,118
registrar,118
falcão,118
concluir,118
tse,118
defensor,118
autor,118
detalhe,117
discussão,117
crítico,117
difícil,117
fazenda,117
antigo,117
crédito,117
delegar,117
colega,117
pereira,117
lúcia,117
cair,116
2009,116
preocupação,116
oposição,116
abastecimento,116
luz,116
requerimento,116
principalmente,115
chefe,115
fraude,115
assessoriar,115
conversar,115
reduzir,115
léo,115
28,114
pensar,114
profissional,114
modo,114
avaliação,114
aí,114
ocasião,114
marco,114
antônio,114
operar,114
acertar,114
votação,114
adotar,113
transferir,113
augusto,113
vargas,113
modelo,113
tarde,113
nestor,113
tirar,112
democracia,112
permanecer,112
disposição,112
relevante,112
espaço,111
porto,111
mencionar,111
prejuízo,111
influência,111
esclarecer,111
azevedo,110
tríplex,110
cidadão,110
partidário,110
portanto,110
viagem,110
carvalho,110
apoiar,109
combate,109
somar,109
vazamento,109
romero,109
suspeitar,109
cedraz,109
preço,108
destacar,108
reforçar,108
transformar,108
suborno,108
tese,107
relato,107
presidencial,107
secretaria,107
despacho,107
secretário,107
somente,107
denúnciar,107
decretar,107
minas,107
2006,107
alegar,106
significar,106
resolver,106
organizar,106
queda,106
posição,106
grave,106
aliar,106
batista,105
recente,105
legislação,105
sul,105
localizar,105
sofrer,105
revista,105
belo,105
mp,105
bndes,104
2018,104
agir,104
formar,104
aumento,104
transparência,104
palestra,104
saída,104
encaminhar,104
comentário,104
edson,104
diretamente,104
povo,104
sábado,104
mal,104
em aquele,103
comando,103
parar,103
estabelecer,103
erro,102
regional,102
escolher,102
compra,102
talvez,102
controlar,102
depósito,102
legislativo,102
investigado,102
diretoria,102
logo,101
indevir,101
estrutura,101
barbosa,101
constar,101
morrer,101
aprovação,101
concessão,101
deputados,100
cadeia,100
27,100
intenção,100
servidor,100
completo,100
relativo,100
suficiente,100
esclarecimento,100
necessidade,100
agência,99
disputar,99
várias,99
coletivo,99
produzir,99
aguardar,99
entidade,99
beneficiário,99
vender,98
série,98
testemunha,98
moraes,98
petróleo,98
perguntar,97
iniciativa,97
nove,97
bastar,97
professor,97
compromisso,96
militar,96
domiciliar,96
alves,96
moreira,96
itália,96
ministra,96
quadro,96
inicial,95
peça,95
impunidade,95
divulgação,95
seguinte,95
filha,95
familiar,95
quebrar,95
cassação,95
homologar,95
telefônico,95
ator,95
americano,95
guarujá,94
promotor,94
iniciar,94
contribuição,94
estratégia,94
planilha,94
repar,94
redução,94
letícia,94
temporário,93
advocacia,93
termo,93
correr,93
tiago,93
de aquele,93
zelada,93
primeira,92
reação,92
servir,92
ameaçar,92
prefeitura,92
conclusão,92
celular,92
congressista,92
2007,91
diálogo,91
referente,91
gravar,91
democrático,91
pascowitch,91
500,91
patrimônio,91
basear,91
manutenção,91
leia,91
rj,91
pecuarista,91
julio,91
fonte,90
retirar,90
pago,90
100,90
peno,90
afirmação,89
popular,89
prédio,89
fundamental,89
mau,89
limite,89
construir,89
maia,89
marcos,89
personagem,89
2008,89
levantar,89
conduta,89
movimentação,89
volta,89
publicitário,89
interino,89
tv,88
audiência,88
convidar,88
apreender,88
protesto,88
luís,88
sarney,88
sítio,88
citação,88
energia,88
atender,88
anticorrupção,87
livre,87
carioca,87
sugerir,87
avançar,87
pasta,87
assessorio,87
mercadante,87
provisório,87
provocar,87
gás,87
prestação,87
desenvolvimento,86
liberar,86
sucesso,86
contratação,86
eletronuclear,86
veja,86
leitor,86
eu,86
comum,86
comprometer,86
mendonça,86
romano,86
aplicar,85
unidade,85
hoffmann,85
transpetro,85
tavares,85
cármen,85
afetar,85
carro,85
corrupto,84
promover,84
dodge,84
realidade,84
repetir,84
municipal,84
etapa,84
presença,84
atualmente,84
campo,84
contudo,84
formação,84
gonçalves,84
diretorio,84
vara,83
atrás,83
pinto,83
aeroporto,83
afastamento,83
princípio,83
pergunta,82
liderança,82
atribuir,82
ética,82
orçamento,82
martins,82
escolha,81
produção,81
entendimento,81
jogo,81
nova,81
registro,81
comunicar,81
arquivamento,81
crescimento,81
advogados,81
distribuidora,81
serra,81
apreensãor,81
padilha,81
investidor,80
capacidade,80
gomes,80
auto,80
lewandowski,80
mãos,80
dano,80
depender,80
provar,80
angra,80
nível,80
agu,80
título,79
1º,79
contribuir,79
diverso,79
ressaltar,79
classificar,79
surgir,79
marqueteiro,79
franco,79
genu,79
empresarial,78
milton,78
bahia,78
29,78
suspender,78
depor,78
foco,78
br,78
tramitar,78
novamente,77
garantia,77
nomear,77
souza,77
carceragem,77
coluna,77
almeida,77
específico,77
lobão,77
serviços,77
exposição,77
mg,77
senhor,77
pernambuco,77
data,76
valer,76
agenda,76
população,76
atrapalhar,76
médico,76
direção,76
encerrar,76
juízo,76
apresentação,76
acerto,76
tesoureiro,76
ataque,75
pertencer,75
colaborador,75
junior,75
vivo,75
cuidar,75
especialista,75
punir,75
provo,75
aberturar,75
intermediar,75
instrumento,75
acrescentar,75
listar,75
crescer,74
criação,74
alckmin,74
2017,74
publicação,74
preparar,74
recusar,74
exercício,74
limpas,74
mantega,74
rodrigues,74
despesa,74
site,74
avanço,74
consist,74
ambiente,73
econômica,73
fábio,73
celebrar,73
corinthians,73
emprego,73
posse,73
acordos,73
acessar,73
santo,73
preventivamente,73
esteves,73
pra,73
marisa,73
janene,73
globo,73
retomar,72
italiano,72
previsão,72
universidade,72
obstrução,72
magistrado,72
investir,72
cumprimento,72
falso,72
pautar,72
confiança,72
aliado,72
funaro,72
apreendir,72
venda,72
navarro,72
casal,72
horizonte,72
trabalhador,72
relatoria,72
argello,72
exigir,71
pesquisa,71
oportunidade,71
reclamar,71
castro,71
carta,71
interessar,71
museu,71
montante,71
departamento,71
interlocutor,71
transação,71
vencer,70
assessoria,70
paula,70
torno,70
cela,70
nelson,70
supostamente,70
atenção,70
favorável,70
reeleição,70
infraestrutura,70
publicidade,70
estrangeiro,69
concreto,69
doria,69
compor,69
revelação,69
brasileira,69
leite,69
acontecimento,69
paes,69
solicitação,69
existência,69
verdadeiro,69
rejeitar,69
si,69
2005,69
200,69
bancoop,69
eletrônico,68
31,68
salário,68
porta,68
constitucional,68
competência,68
possuir,68
dividir,68
eike,68
histório,68
histórico,68
sala,68
pegar,68
terminar,68
habea,68
petição,68
previdência,68
construtor,67
certeza,67
produto,67
confessar,67
sinal,67
posto,67
prejudicar,67
rocha,67
verba,67
lavar,67
silêncio,67
absolutamente,67
prometer,66
delito,66
branco,66
solução,66
passo,66
perda,66
impor,66
investiga,66
devolver,66
detalhar,66
financiar,66
lobistar,66
edinho,66
mônica,66
fornecedor,66
consultoria,66
adquirir,65
chance,65
vaga,65
solto,65
recentemente,65
cultura,65
auxiliar,65
físico,65
andar,65
semelhante,65
bancar,65
inicialmente,65
titular,65
300,65
atraso,65
mario,65
tocar,64
tratamento,64
hotel,64
alcançar,64
expectativa,64
veículo,64
abaixo,64
objeto,64
arte,64
edição,64
francisco,64
vítima,64
hipótese,64
comparar,63
ético,63
ofício,63
positivo,63
bruno,63
proibir,63
efetivo,63
preocupar,63
conexão,63
sequer,63
eleger,63
fachar,63
grau,63
imposto,63
convocar,63
