entity,count
Relator Lava Jato,5
Defesa,5
PPS,5
Delúbio Soares,5
Delúbio,5
Gomes,5
Edward Carvalho,5
FGTS projeto Porto Maravilha Rio Carioca,5
Superintendência Polícia Federal Curitiba,5
LILS,5
Gilberto Carvalho,5
Odebrecht Infraestrutura,5
Aletheia,5
Samsung Heavy Industries,5
Camargo Baiano,5
Tofic,5
Anatel,5
Alberto Toron,5
Nelci Warken,5
Triplo,5
Petros,5
Graça,5
Ricardo Hoffmann,5
Márcio Faria Rogério Araújo,5
Calendas,5
Pasadena Estados Unidos,5
Janot Cunha,5
Google,5
Fundo Consist,5
Casa Civil Aloizio Mercadante,5
Ministério Minas Energia,5
Aratec,5
Costa Youssef,5
Tião Viana,5
Odebrecht Marcelo Odebrecht Andrade Gutierrez Otávio Marques Azevedo,5
Roseana Sarney,5
Magnus,5
Heinze,5
Rodrigo Roca,4
Estado Democrático,4
Grupo Trabalho Lava Jato,4
Funaro Cunha,4
Geddel,4
Condução,4
Janot Dodge,4
Procuradoria República,4
Trench Rossi Watanabe,4
Ministério Público Lava Jato,4
Justiça Lula,4
Eduardo Paes PMDB,4
Transcarioca,4
Alberto Youssef Paulo,4
Carlos Habib,4
Cama,4
Justiça Lava Jato,4
Monica Moura,4
Herman Benjamin,4
Coaf,4
Rosalvo Franco,4
pessoa,4
Mundo,4
Antônio Carlos Almeida Castro,4
Amazônia,4
Odebrecht Ambiental,4
Ademar Rigueira Neto,4
Álvaro Novis,4
Athayde Ribeiro Costa,4
Sargeant,4
Petrobrás,4
Petrobro,4
Caroline Serejo,4
Jacob Barata Filho,4
Barata Filho,4
Aldemir Bendine,4
Medioli,4
PMDB PSDB,4
João Batista Gonçalves,4
Paes Moreira,4
Diretoria,4
Aroldo,4
Exercício,4
Assuntos,4
Renato Marcelo Chebar,4
Carioca Engenharia,4
Sergio Machado,4
Favieri,4
Imagine,4
Batista,4
Pierpaolo Bottini,4
Porsche,4
Robalinho,4
Associação Magistrados Brasileiros,4
ONU,4
LADO Odebrecht,4
Conselho Superior Ministério Público Federal,4
EBX,4
Paula,4
Polícia Federal Operação Lava Jato,4
Lava Jato PT,4
TRF Tribunal Regional Federal,4
Zveiter,4
Nicolao Dino,4
Tribunal Regional,4
Esperamos,4
Procuradores Operação Lava Jato,4
Combate,4
Investigação,4
Costamarques,4
Mário Negromonte,4
Ancelmo,4
Justiça Federal Rio,4
maracanã,4
Benjamin,4
Lúcio,4
Atividades,4
Desconfiança,4
Osmar Serraglio,4
Sobral,4
Mônica Bergamo,4
Cruz,4
Produto,4
Jorge Viana,4
Lula Lula,4
Bernardo Campo,4
Lula Cristiano Zanin Martins,4
Deltan,4
PROPINA,4
Lula Odebrecht,4
João Cláudio Genu,4
SBM,4
Vaccari Luiz Flávio Borges,4
Sergio Moro Lava Jato,4
MANDADOS,4
HC,4
Crimes,4
JD Assessoria,4
Mônica,4
Complexo Petroquímico Rio Janeiro,4
José Dirceu Casa Civil,4
Deus,4
Sergio Moro Curitiba,4
Solução,4
ANPR,4
juiz Sergio moro,4
DEFESA,4
Entenda Lava Jato,4
Felix Fischer,4
Previdência,4
Fernando Henrique Cardoso PSDB,4
Duda Mendonça,4
Duda,4
Fatos,4
MBL Movimento Brasil Livre,4
Lira,4
Bruno Luz,4
Abastecimento Petrobras,4
Rafael Ângulo Lopez,4
Petrobras Roberto Gonçalves,4
República Roberson Pozzobon,4
França,4
Rogério,4
Ronaldo Caiado,4
Antes Lava Jato,4
Estratégico,4
Confederal,4
Romero Jucá RR,4
Othon Pinheiro Silva,4
Delatores,4
Morumbi,4
Logo,4
Dirceu Luiz Eduardo Oliveira Silva,4
Credencial Construtora,4
Santo André Celso Daniel,4
Fausto,4
Nacional,4
Sergio Moro Justiça Federal Paraná,4
Renan Jucá,4
Salim,4
Júlio Delgado,4
Jean Wyllys,4
Universidade Federal Paraná,4
Paulo Rio Janeiro,4
Edison,4
presidente Câmara,4
Flávio Godinho,4
Ficha Limpa,4
Homologação,4
FGV,4
Vladimir Netto,4
Youssef Costa,4
Decisões,4
Quatro,4
Erton Fonseca,4
Manchete,4
Arena Corinthians,4
Estado Paulo,4
Celso Vilardi,4
Odebrecht PT,4
Lula Guarujá,4
Lei Anticorrupção,4
Vital Rêgo,4
PRÓXIMOS,4
Comissão Constituição,4
Mendonça Neto,4
Espanha,4
Hamylton Padilha,4
Eduardo Musa,4
Nogueira,4
Walmir Pinheiro,4
Antonio Carlos Almeida Castro Kakay,4
Tacla Duran,4
Tribunal Contas União,4
Temor,4
Código Penal,4
Polícia Federal Marcio Anselmo,4
Antunes,4
Oscar Niemeyer,4
Otávio Azevedo,4
Raupp,4
Petrobras Lula,4
Bezerra,4
Refinaria Abreu Lima,4
Ribeirão Preto SP,4
Duarte Nogueira,4
Ribeirão Preto,4
Casa Civil governo,4
Projeto,4
Procurada,4
Coutinho,4
TCU Tribunal,4
Queiroz Galvão Iesa,4
Promotoria,4
Ricardo Pessoa UTC Engenharia,4
Luciano,4
STJ Superior Tribunal Justiça Francisco Falcão,4
Secretaria Segurança Pública,4
PGR Procuradoria Geral,4
Antônio Carlos Almeida Castro Kakay,4
André,4
Entrega,4
Lyra,4
Castro,4
Rondônia,4
Fábio Cleto,4
Alexandre Romano Chambinho,4
Ministério Público Federal Paulo,4
Morales,4
Fernando Pimentel,4
Hugo Motta,4
Offshore,4
FPB,4
FPB Bank,4
Passados,4
Estados Paulo,4
Pedro Barusco Petrobras,4
Henrique Constantino,4
Valec,4
Cade Conselho Administrativo Defesa Econômica,4
José Dirceu PT,4
Lei Combate Lavagem Dinheiro,4
Silvio Berlusconi,4
Ferrari,4
Porto Maravilha,4
Consist Software,4
Americana SP,4
Bradesco,4
Waldir Maranhão,4
Guarulhos,4
Caixa,4
PR,4
Petrobras Teori,4
CNJ Conselho Nacional,4
Rocha,4
Eduardo Ferrão,4
Ricardo Barros,4
Planejamento Romero,4
Machado Jucá,4
Nancy Andrighi,4
Maringá,4
PM,4
Valério Neves Campos,4
Agravo,4
Ministério Público Estado Paulo,4
Diogo Ferreira,4
Benedito Lira,4
Fazenda Nelson Barbosa,4
Odebrecht Óleo,4
Julius Baer,4
PMB,4
Brasil Janot,4
Alberto Carlos,4
Wadih,4
Murray Holdings,4
Lício,4
João Augusto Rezende Henriques,4
Bernardo Cerveró,4
Câmara Eduardo Cunha Senado Renan Calheiros,4
Agenor Franklin Magalhães,4
Mateus Coutinho Sá Oliveira,4
José Ricardo Nogueira Breghirolli,4
Cartel,4
Grupo Galvão,4
Senado Federal,4
Nelson Martins,4
Pedro Paulo Leoni Ramos,4
Careca,4
Rafael Ângulo,4
Saliba,4
João Antônio Bernardi,4
Land Rover,4
Richa,4
Cunha Baiano,4
Júlio Gerin Camargo,4
Baiano PGR,4
Igreja Evangélica Assembleia Deus,4
Camargo Piemonte Treviso,4
Kroll,4
informar Romano,4
Ricardo Berzoini,4
Portanova Advogados Associados,4
Celso Pansera,4
Camargo Corrêa Dalton Avancini,4
Luciano Araújo,4
Avancini,4
Bernardi Filho,4
MPV7,4
Renan Calheiros Câmara,4
Marice,4
Leon Vargas,4
João Ricardo Auler,4
DELTAN,4
João Gualberto Pereira,4
Fasano,3
João Doria,3
Alckmin Doria,3
Sérgio Moro Curitiba,3
Breta,3
Oficial,3
Bangu,3
Benfica,3
Secretaria Obras,3
Wilson Carlos,3
Moro Lula,3
Assista,3
Corrupção,3
Lava Jato Ministério Público Federal,3
Sociedade brasileiro,3
Auxílio,3
LULA,3
República Lula,3
Luiz Inácio Lula Silva Dilma Rousseff,3
Disse,3
Andrade Gutierrez Camargo Corrêa,3
Valdir Raupp RO,3
Carlos Eduardo Sobral,3
Associação Delegados Polícia Federal,3
Marlus Arns,3
Fernando Reis,3
Gleisi Paulo Bernardo,3
Sanko Sider,3
Sargeant Marine,3
Gilmar Mendes Dias Toffoli Ricardo Lewandowski Celso Mello,3
Compliance,3
Cabe,3
Faria,3
Alvaro Dias,3
PHS,3
Betim,3
Abreu,3
TRF3,3
Henry Hoyer Carvalho,3
Raimundo,3
Carreiro,3
Caroline,3
Novis,3
Gilberto Kassab,3
Morto,3
Trecho,3
Alberto Zacharias Toron,3
Lula Lava Jato,3
José Roberto,3
Loures,3
Vicente Cândido,3
Lava Jato Estado,3
UOL,3
Jacob Barata,3
Repasses,3
Operação Lava Jato Rio,3
Ministério Cidades,3
CSMPF,3
CNMP,3
Joesley,3
Investimentos,3
Rio Janeiro Paulo,3
POLÊMICAS,3
Equador,3
Humala,3
Carvalho Pinto,3
Departamento,3
Paulo Brasília,3
Operação Lava Jato Ministério Público Federal,3
suíça,3
Justiça Brasil,3
Olha,3
Gebran Neto,3
Italiano,3
Ajufe Associação Juízes Federais,3
Associação Nacional Procuradores República,3
Raquel,3
Sabatina,3
Bonsaglia,3
Rio Paulo,3
Lide Grupo Líderes Empresariais,3
Santa Bárbara,3
Fernando Bittar,3
Instituto Lula Lula,3
Tribunal Contas Municípios,3
Yousseff,3
Lavagem,3
Bahamas,3
DENUNCIADOS,3
Brasil Estados Unidos,3
Cláudia Cruz,3
Jornalista,3
CONDENADOS,3
Zeca PT,3
Greenfield,3
Paulo Gordilho,3
Joseph Goebbels,3
Luiz Fernando Pezão PMDB,3
Mesa Diretora,3
Reis,3
Passar,3
Congonhas Paulo,3
Falei,3
LADO Lula,3
Paulo Lula,3
Renata Silva Rodrigues,3
João Carlos Genu,3
México,3
Complexo Médico Penal Pinhais Paraná,3
Campo,3
Dez Medidas,3
Primeira Segunda,3
